predicted_p_adsorption_capacity_mg_g,energy_proxy,composite_objective,nearest_training_distance,support_distance_limit,combination_code,Modified or unmodified,Cross-linked or uncross-linked,modified_material_type,cross_linking_agent_type,Adsorbent dosage (g/L),Reactor temperature (℃),Initial P concentration (mg/L),Reaction time (min),Solution pH,Pore volume (cm³/g),BET surface area (m²/g),scenario,initial_p_constraint_mg_l,run
91.29895710493423,0.03944095492728965,-0.42803962420703817,0.16986387875902278,0.1785714285714285,16,1.0,1.0,10,2,0.04007550774193558,20.99346038532056,10.0,992.2897659877212,3.6597557620229733,0.019317235759531287,11.773447313906406,Fixed 10 mg/L,10.0,1
91.29895710493423,0.03837696044698328,-0.42910361868734453,0.1778242437453344,0.1785714285714285,16,1.0,1.0,10,2,0.043964136228958825,20.99534252238381,10.0,965.9746519341815,3.647486807674647,0.01824913649435479,11.8279087785632,Fixed 10 mg/L,10.0,2
87.2977151829001,0.019282663824558597,-0.427710245458084,0.07614772141974487,0.1785714285714285,1,1.0,1.0,2,1,0.04295211610330364,22.49249819739435,10.0,775.1509935090515,4.950919324346257,0.09967702330290859,107.47125707243951,Fixed 10 mg/L,10.0,3
91.29895710493423,0.03971720585139765,-0.4277633732829302,0.1778291960772835,0.1785714285714285,16,1.0,1.0,10,2,0.04340827663215355,20.9943268180364,10.0,999.4560634271093,3.8881228188684585,0.01650976942205584,11.80954958624264,Fixed 10 mg/L,10.0,4
91.29895710493423,0.03953243153536514,-0.4279481475989627,0.1724792421773004,0.1785714285714285,16,1.0,1.0,10,2,0.04132876407972921,20.978830765924936,10.0,990.9727412110257,3.715210685162779,0.0160838084013607,11.771860227296283,Fixed 10 mg/L,10.0,5
91.29895710493423,0.041082621259005234,-0.4263979578753226,0.17357759757581365,0.1785714285714285,16,1.0,1.0,10,2,0.05188300897870806,20.983234128670833,10.0,1030.960816627684,3.9812098718734417,0.017051182117665226,11.818777695142135,Fixed 10 mg/L,10.0,6
91.29895710493423,0.03948003744708999,-0.42800054168723783,0.1766633135396878,0.1785714285714285,16,1.0,1.0,10,2,0.04,20.99228194514041,10.0,992.9809732601298,3.823705298573413,0.015817992396813984,11.763669797244592,Fixed 10 mg/L,10.0,7
91.29895710493423,0.03936047038769396,-0.42812010874663387,0.17683055509023965,0.1785714285714285,16,1.0,1.0,10,2,0.045359196081372274,20.99604212807767,10.0,990.9033865969989,3.81434110476909,0.015579784179347127,11.318914288685761,Fixed 10 mg/L,10.0,8
87.2977151829001,0.01918886394975164,-0.42780404533289096,0.07475053295166897,0.1785714285714285,1,1.0,1.0,2,1,0.04000000000000001,22.49820384143864,10.0,773.1395219853707,4.986746792084063,0.09654877033530711,107.65868938470553,Fixed 10 mg/L,10.0,9
91.29895710493423,0.03959907335149475,-0.42788150578283307,0.17418915463576448,0.1785714285714285,16,1.0,1.0,10,2,0.04328340394879097,20.99848229888702,10.0,997.5181648504147,3.799742138806673,0.016906040799116298,11.834480827674096,Fixed 10 mg/L,10.0,10
93.25997862872853,0.01910004085999437,-0.45842161110482144,0.07366225339650577,0.1785714285714285,1,1.0,1.0,2,1,0.04608492025981281,22.494662308136583,20.0,768.4728988591742,4.960602545445808,0.1428631321190503,106.80505023654689,Fixed 20 mg/L,20.0,1
93.25997862872853,0.01911721931094322,-0.4584044326538726,0.07289433890902626,0.1785714285714285,1,1.0,1.0,2,1,0.041083734416578116,22.4966788464548,20.0,769.7836547316506,4.9657669453652,0.14136194331378926,107.8721731135515,Fixed 20 mg/L,20.0,2
92.27591732216709,0.0403848006954763,-0.4320981349018974,0.17066973472033678,0.1785714285714285,16,1.0,1.0,10,2,0.0407022917931467,20.993449416773217,20.0,1016.033075220903,3.8441453742074057,0.017457731255888575,11.70849432120145,Fixed 20 mg/L,20.0,3
93.25997862872853,0.01903443720141109,-0.45848721476340476,0.07448880645064158,0.1785714285714285,1,1.0,1.0,2,1,0.04034025928628387,22.494599114204476,20.0,765.8140782100884,4.949307581650425,0.13625920936399333,107.18006158624522,Fixed 20 mg/L,20.0,4
93.25997862872853,0.019795509308090223,-0.4577261426567256,0.07246643728979989,0.1785714285714285,1,1.0,1.0,2,1,0.040021762642469844,22.498278586526947,20.0,797.6057316011727,4.959289966838506,0.14069321523297887,107.90243353443776,Fixed 20 mg/L,20.0,5
93.25997862872853,0.019123223150940515,-0.4583984288138753,0.07388607728751463,0.1785714285714285,1,1.0,1.0,2,1,0.04,22.48410308214987,20.0,766.1764200029238,4.954826862069026,0.13938386365992236,107.73795613423107,Fixed 20 mg/L,20.0,6
87.8483276074414,0.013123076841215624,-0.43668914849130563,0.1337231578946583,0.1785714285714285,16,1.0,1.0,10,2,0.04169659351935839,20.99209316938825,20.0,330.0491257658871,4.964202344425881,0.0085,23.330523121527555,Fixed 20 mg/L,20.0,7
93.24543315607752,0.018963352241169285,-0.4584838221371078,0.07757815573146237,0.1785714285714285,1,1.0,1.0,2,1,0.0462298120485068,22.491200157439163,20.0,761.9204503611217,4.87979498167058,0.14273661488203496,107.91176801738733,Fixed 20 mg/L,20.0,8
87.8483276074414,0.013117221348935582,-0.4366950039835857,0.12750707043140658,0.1785714285714285,16,1.0,1.0,10,2,0.04,20.99526700137014,20.0,330.1633123669111,4.995358604126124,0.008541884599799134,22.402776119537542,Fixed 20 mg/L,20.0,9
93.25997862872853,0.01912739818816223,-0.4583942537766536,0.07350258300392237,0.1785714285714285,1,1.0,1.0,2,1,0.0411149259928963,22.49606045045437,20.0,770.0033084730892,4.958086295380106,0.1376731997402157,107.74235472867868,Fixed 20 mg/L,20.0,10
121.44670976562298,0.03760904024079698,-0.5842379119641338,0.09952400889993038,0.1785714285714285,1,1.0,1.0,2,1,0.3541105162007856,44.9503920565474,47.48,190.020890092142,5.169213068214005,1.1016468414906488,110.77063295356473,Fixed 47.48 mg/L,47.48,1
121.44670976562298,0.037755986802900224,-0.5840909654020305,0.10123127790843496,0.1785714285714285,1,1.0,1.0,2,1,0.36552108810871997,44.96762679038288,47.48,190.59868805066776,5.15476981996118,1.118272343821991,111.19428521074192,Fixed 47.48 mg/L,47.48,2
121.44670976562298,0.03765468908542191,-0.5841922631195089,0.08054351703203484,0.1785714285714285,1,1.0,1.0,2,1,0.3608681911350258,44.969666710666004,47.48,190.0679022240899,5.204758390597977,0.7481247515168025,110.83542990381947,Fixed 47.48 mg/L,47.48,3
